#rank	title	distributor	href	year	poster	trailer
8	The Golden Child	Paramount	The_Golden_Child	1986	1/1a/Golden_child_movie.jpg	
9	Ruthless People	Buena Vista	Ruthless_People	1986	3/3a/Ruthless_people_poster.jpg	
10	Ferris Bueller's Day Off	Paramount	Ferris_Bueller's_Day_Off	1986	9/9b/Ferris_Bueller's_Day_Off.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Three Men and a Baby	Buena Vista	Three_Men_and_a_Baby	1987	b/bd/Three_Men_and_a_Baby.png	
2	Fatal Attraction	Paramount	Fatal_Attraction	1987	b/ba/Fatal_Attraction_poster.png	
3	Beverly Hills Cop II	Paramount	Beverly_Hills_Cop_II	1987	5/52/Beverly_Hills_Cop_II.jpg	
4	Good Morning, Vietnam	Buena Vista	Good_Morning,_Vietnam	1987	d/d0/Good_Morning,_Vietnam.jpg	
5	Moonstruck	MGM/UA Communications Co.	Moonstruck	1987	7/7d/Chermoonstruck.jpg	
6	The Untouchables	Paramount	The_Untouchables_(film)	1987	9/92/UntouchablesThe.jpg	
7	The Secret of My Success	Universal Pictures	The_Secret_of_My_Success_(1987_film)	1987	1/18/The_Secret_Of_My_Success.jpg	
8	Stakeout	Buena Vista	Stakeout_(1987_film)	1987	2/2f/Stakeoutposter1987.jpg	
9	Lethal Weapon	Warner Bros.	Lethal_Weapon	1987	d/d9/Lethal_weapon1.jpg	
10	The Witches of Eastwick	Warner Bros.	The_Witches_of_Eastwick_(film)	1987	f/f4/Witches_moviep.jpg	
#rank	title	distributor	href	year	poster	trailer
1	Rain Man	MGM	Rain_Man	1988	b/b2/Rain_Man_poster.jpg	
2	Who Framed Roger Rabbit	Buena Vista Pictures Distribution	Who_Framed_Roger_Rabbit	1988	3/32/Movie_poster_who_framed_roger_rabbit.jpg	
3	Coming to America	Paramount	Coming_to_America	1988	3/38/ComingtoAmerica1988MoviePoster.jpg	
4	Big	20th Century Fox	Big_(film)	1988	b/be/Big_Poster.jpg	
5	Twins	Universal	Twins_(1988_film)	1988	6/6b/Twins_Poster.jpg	
6	Crocodile Dundee II	Paramount	Crocodile_Dundee_II	1988	6/68/Crocodile_dundee_ii_ver2.jpg	
7	Die Hard	20th Century Fox	Die_Hard	1988	c/ca/Die_Hard_(1988_film)_poster.jpg	
8	The Naked Gun: From the Files of Police Squad!	Paramount	The_Naked_Gun:_From_the_Files_of_Police_Squad!	1988	5/5f/The_Naked_Gun_Poster.jpg	
9	Cocktail	Buena Vista	Cocktail_(1988_film)	1988	8/8c/Cocktail_1988.jpg	
10	Beetlejuice	Warner Bros.	Beetlejuice	1988	7/76/Beetlejuice_(1988_film_poster).png	
#rank	title	distributor	href	year	poster	trailer
1	Batman	Warner Bros.	Batman_(1989_film)	1989	5/5a/Batman_(1989)_theatrical_poster.jpg	
2	Indiana Jones and the Last Crusade	Paramount	Indiana_Jones_and_the_Last_Crusade	1989	8/8c/Indiana_Jones_and_the_Last_Crusade.png	
